id,sex,bw_6,bw_12,bw_18,bw_24,dead,age(days),target
JL07055,1,45,50,48,47,1,1008,468
JL07057,1,44,47,46,45,1,886,346
JL07058,1,40,44,42,37,1,792,252
JL07059,1,45,47,47,0,1,645,105
JL07060,1,47,49,48,49,1,954,414
JL07061,1,40,42,41,34,1,792,252
JL07065,1,43,46,0,0,1,464,-76
JL07066,1,45,49,52,0,1,603,63
JL07067,1,42,45,0,0,1,380,-160
JL07071,1,38,40,43,42,1,848,308
JL07072,1,45,47,0,0,1,387,-153
JL07124,1,38,40,39,0,1,665,125
JL07125,1,40,44,42,0,1,554,14
JL07126,1,32,39,38,38,1,749,209
JL07130,1,35,31,36,38,1,1178,638
JL07131,1,35,35,35,34,1,771,231
JL07132,1,41,45,47,46,1,861,321
JL07136,1,40,42,43,46,1,1144,604
JL07137,1,45,50,53,56,1,826,286
JL07138,1,40,44,43,38,1,752,212
JL07166,1,42,48,49,49,1,812,272
JL07167,1,43,47,49,47,1,1084,544
JL07168,1,43,47,51,0,1,616,76
JL07175,1,43,45,46,45,1,995,455
JL07176,1,43,48,43,36,0,995,455
JL07177,1,40,43,48,44,1,1002,462
JL07209,1,44,47,51,51,1,889,349
JL07210,1,43,46,46,44,1,446,-94
JL07211,1,16,55,0,0,1,697,157
JL07218,1,28,45,44,0,1,781,241
JL07219,1,48,49,52,49,1,301,-239
JL07263,1,28,27,31,33,1,711,171
JL07264,1,46,48,0,0,1,543,3
JL07265,1,13,44,0,0,1,377,-163
JL07266,1,13,46,0,0,1,872,332
JL07267,1,43,44,44,46,1,795,255
JL07268,1,46,47,52,46,1,886,346
JL07308,1,25,29,31,29,1,1082,542
JL07309,1,39,44,46,49,1,587,47
JL07310,1,45,48,41,0,1,676,136
JL07311,1,45,51,44,0,1,613,73
JL07312,1,34,45,44,0,1,657,117
JL07313,1,41,45,46,0,1,587,47
JL07364,1,42,47,48,0,1,791,251
JL07365,1,45,48,47,48,1,805,265
JL07366,1,47,56,53,29,1,763,223
JL07370,1,43,45,46,42,1,498,-42
JL07371,1,42,45,0,0,1,972,432
JL07372,1,40,50,51,49,1,874,334
JL07403,1,35,48,47,47,1,616,76
JL07404,1,42,48,50,0,1,842,302
JL07405,1,47,53,48,38,1,731,191
JL07430,1,26,38,46,45,1,1057,517
JL07431,1,42,47,49,50,1,763,223
JL07432,1,33,40,43,47,1,932,392
JL07468,1,39,44,45,36,1,296,-244
JL07469,1,30,36,40,0,1,1085,545
JL07470,1,42,0,0,0,1,995,455
JL07572,1,20,25,28,30,1,875,335
JL07573,1,23,27,30,35,1,959,419
JL07574,1,44,49,49,51,1,644,104
JL07670,1,23,26,29,30,1,607,67
JL07671,1,32,27,30,30,1,557,17
JL07672,1,41,48,47,0,1,1041,501
JL07685,1,42,44,44,0,1,637,97
JL07686,1,46,49,49,30,1,813,273
JL07687,1,47,49,49,0,1,798,258
JL07688,1,45,49,53,55,1,619,79
JL07689,1,51,51,51,47,1,925,385
JL07690,1,40,47,50,0,1,847,307
JL07728,1,24,33,38,42,1,388,-152
JL07729,1,27,35,36,0,1,830,290
JL07730,1,37,42,0,0,1,564,24
JL07731,1,32,41,47,31,1,221,-319
JL07732,1,42,47,26,0,1,620,80
JL07733,1,38,0,0,0,1,648,108
JL07737,1,46,48,51,0,1,319,-221
JL07738,1,43,51,46,0,1,660,120
JL07739,1,51,0,0,0,1,634,94
JL07751,1,37,42,45,49,1,371,-169
JL07752,1,24,27,30,33,1,1127,587
JL07753,1,39,43,0,0,1,602,62
JL07777,1,33,48,56,57,1,1256,716
JL07778,1,30,34,38,44,1,776,236
JL07779,1,33,31,33,32,1,438,-102
JL07786,1,44,47,50,47,1,718,178
JL07787,1,35,38,0,0,1,397,-143
JL07788,1,28,44,46,0,1,1258,718
JL07795,1,15,51,0,0,1,1043,503
JL07796,1,43,44,49,47,1,1076,536
JL07797,1,41,44,40,45,1,773,233
JL07822,1,42,43,45,44,1,937,397
JL07823,1,40,43,41,41,1,812,272
JL07824,1,40,45,44,45,1,435,-105
UM29841,1,34,0,0,0,0,355,-185
UM29848,1,29,0,0,0,0,355,-185
UM29855,1,38,0,0,0,0,355,-185
UM29925,1,34,41.3,45.9,0,1,689,149
UM29932,1,37,44.8,44.8,44.8,1,868,328
UM29939,1,32,37.7,34.6,30.5,1,831,291
UM30303,1,38,47.3,48.1,0,1,673,133
UM30310,1,27,31.6,33.9,33.2,1,1062,522
UM30317,1,34,40.2,34.5,31.9,1,976,436
UM30443,1,31,42.1,42.4,45.9,1,883,343
UM30450,1,31,44.2,41.5,43.6,1,840,300
UM30457,1,35,42.2,39.1,28.9,1,733,193
UM30555,1,35,41.6,44.7,44,1,1026,486
UM30562,1,32,42.8,0,0,1,547,7
UM30569,1,32,37,38.7,35.7,1,1094,554
UM30625,1,35,43.9,44.5,45.9,1,929,389
UM30632,1,32,38.8,37.8,37.9,1,737,197
UM30639,1,39,48.8,49,46.7,1,956,416
UM30716,1,31,37.8,34.2,30.6,1,890,350
UM30723,1,32,38,40.9,38.2,1,784,244
UM30730,1,34,38.9,40.9,43.2,1,880,340
UM30814,1,33,39.6,44,42.7,1,1087,547
UM30821,1,37,46.3,49.1,43.9,1,1239,699
UM30828,1,44,50,53.2,0,1,646,106
